                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4265,                  4.027,                 1.6503,                0.70852,                 0.6727,                0.73022,                0.46195,                 1.2659,                 3.8473,                 1.4806,                 0.0002,                 0.0002,                 0.0002
                      2,                  1.147,                 1.7939,                  1.409,                0.72839,                0.68859,                0.76703,                0.48275,                 1.2944,                 4.4249,                 1.5858,             0.00039616,             0.00039616,             0.00039616
                      3,                 1.1966,                 1.5431,                 1.4118,                0.46797,                0.53682,                0.49912,                0.26526,                 1.7709,                  3.321,                 2.0822,              0.0005755,              0.0005755,              0.0005755
                      4,                  1.208,                 1.4434,                 1.3818,                0.74765,                0.61556,                0.65713,                0.40818,                  1.419,                 2.9257,                 1.8052,             0.00073801,             0.00073801,             0.00073801
                      5,                 1.2406,                 1.4132,                 1.4418,                0.70156,                  0.568,                0.69498,                0.43861,                   1.37,                 4.5594,                  1.759,             0.00088368,             0.00088368,             0.00088368
                      6,                  1.298,                 1.3818,                 1.5007,                0.77225,                0.52675,                0.67786,                0.42513,                 1.3542,                 2.9678,                 1.6604,              0.0010025,              0.0010025,              0.0010025
                      7,                 1.2648,                 1.4157,                 1.4608,                0.62382,                 0.5586,                0.58176,                0.37663,                 1.3571,                 4.5958,                 1.7348,              0.0010025,              0.0010025,              0.0010025
                      8,                 1.2308,                 1.3082,                 1.4387,                0.78717,                0.64744,                0.80387,                0.52304,                 1.1866,                 1.6508,                 1.5633,               0.000953,               0.000953,               0.000953
                      9,                 1.1027,                 1.1484,                 1.3251,                0.76415,                0.74378,                0.84999,                 0.5724,                 1.1365,                 1.3951,                  1.498,              0.0009035,              0.0009035,              0.0009035
                     10,                 1.1267,                 1.0932,                 1.3824,                0.83144,                0.58729,                0.77344,                0.52738,                 1.1873,                 1.9814,                 1.5152,               0.000854,               0.000854,               0.000854
                     11,                 1.1024,                 1.1289,                 1.3664,                0.87264,                0.72297,                0.83968,                0.59835,                 1.1371,                 1.3915,                  1.418,              0.0008045,              0.0008045,              0.0008045
                     12,                 1.1288,                  1.069,                 1.3347,                0.88487,                0.89168,                0.92511,                 0.6644,                 1.0444,                0.89169,                 1.3281,               0.000755,               0.000755,               0.000755
                     13,                 1.0751,                 1.0298,                 1.3195,                 0.8211,                0.84127,                0.89016,                0.63386,                 1.0326,                0.89402,                 1.2843,              0.0007055,              0.0007055,              0.0007055
                     14,                 1.0548,                0.98697,                   1.31,                  0.927,                0.87118,                0.93617,                 0.6592,                 1.0395,                0.82023,                 1.3031,               0.000656,               0.000656,               0.000656
                     15,                0.96491,                0.93059,                 1.2416,                0.88107,                0.90097,                0.94338,                0.68205,                 1.0141,                0.82243,                 1.2757,              0.0006065,              0.0006065,              0.0006065
                     16,                0.99171,                0.86308,                 1.2821,                0.89899,                0.91748,                0.94904,                0.70579,                 1.0071,                0.75443,                 1.2209,               0.000557,               0.000557,               0.000557
                     17,                0.94329,                0.81446,                  1.268,                0.94769,                0.87023,                0.94313,                0.71229,                0.90816,                0.67377,                 1.1677,              0.0005075,              0.0005075,              0.0005075
                     18,                0.90147,                0.77049,                 1.2295,                0.88735,                0.85753,                0.91966,                0.69606,                0.91475,                0.75682,                 1.1797,               0.000458,               0.000458,               0.000458
                     19,                0.89737,                0.75193,                 1.2052,                0.92987,                0.91019,                0.94346,                0.70819,                 0.9019,                0.67045,                 1.1773,              0.0004085,              0.0004085,              0.0004085
                     20,                 0.8645,                0.75163,                 1.1999,                0.93581,                0.93123,                0.95373,                0.73067,                0.87062,                 0.6898,                 1.1416,               0.000359,               0.000359,               0.000359
                     21,                0.83712,                0.71561,                 1.1941,                0.92787,                 0.8856,                0.93897,                0.72234,                  0.868,                0.71721,                 1.1337,              0.0003095,              0.0003095,              0.0003095
                     22,                0.82184,                0.68726,                 1.1576,                0.93745,                0.94009,                0.95969,                0.74665,                0.82901,                0.61959,                 1.1027,                0.00026,                0.00026,                0.00026
                     23,                0.80994,                0.65902,                 1.1701,                0.95583,                0.92477,                0.96158,                0.74678,                0.81882,                0.57153,                 1.1042,              0.0002105,              0.0002105,              0.0002105
                     24,                0.78208,                  0.593,                   1.15,                0.95824,                0.92368,                0.96126,                0.75917,                 0.8152,                0.57738,                 1.1195,               0.000161,               0.000161,               0.000161
                     25,                0.74715,                0.59213,                 1.1272,                0.94145,                 0.9333,                0.96372,                0.75751,                 0.7899,                0.56309,                 1.1013,              0.0001115,              0.0001115,              0.0001115
